Estacio,UTM Y,nom,conca
Aforament - Sant Vicenç dels Horts (riu - canal de la Dreta),"4582131",a58,llobregat
Aforament - QLSup(A) - Martorell (Anoia),"4592342",a46,llobregat
Aforament - Guardiola de Berguedà (Llobregat),"4674198",a23,llobregat
Aforament - Tortellà - Llierca,"4677351",a69,fluvia
Aforament - Sant Celoni,"4614412",a50,besos-tord
Aforament - Maçanet de Cabrenys (Arnera),"4691138",a36,muga
Aforament - Girona (Onyar),"4647022",a21,ter
Aforament - Castellar de n'Hug (Clot del Moro),"4679126",a09,llobregat
Aforament - Tarragona,"4556773",a66,sud
Aforament - Riudellots de la Selva (Onyar),"4638503",a48,ter
Aforament - el Papiol (riera de Rubí),"4589073",a17,llobregat
Aforament - Santa Llogaia d'Àlguema (riu Manol),"4676178",a61,muga
Aforament - Serra de Daró (riu Daró),"4652675",a65,ter
Aforament - la Garriga,"4616399",a30,besos-tord
Aforament - Berga (Olvan),"4659812",a04,llobregat
Aforament - Campllong (la Gotarra),"4638465",a06,ter
Aforament - Guixers (Aigua de Valls),"4665722",a24,llobregat
Aforament - Castellet i la Gornal,"4569143",a13,sud
Aforament - Castellbisbal (Assut de Salzers),"4593104",a12,llobregat
Aforament - Santa Cristina d'Aro,"4629585",a60,ter
Aforament - Sant Feliu de Buixalleu (riera d'Arbúcies),"4623237",a51,besos-tord
Aforament - Peralada (Llobregat de la Muga),"4683552",a43,muga
Aforament - Torroella de Montgrí­ (Pont de Torroella),"4653688",a68,ter
Aforament - Girona (Ter),"4648705",a22,ter
Aforament - Sant Joan Despí,"4578251",a54,llobregat
Aforament - Boadella d'Empordà,"4686953",a05,muga
Aforament - la Cellera de Ter (Pasteral I),"4648235",a28,ter
Aforament - Súria,"4629811",a63,llobregat
Aforament - Fogars de la Selva (Can Simó),"4620839",a19,besos-tord
Aforament - Santa Coloma de Gramenet,"4589088",a59,besos-tord
Aforament - les Masies de Roda (Ter),"4648284",a34,ter
Aforament - Sallent,"4626764",a49,llobregat
Aforament - Montornès del Vallès (el Mogent),"4599712",a39,besos-tord
Aforament - Serinyà,"4668642",a64,fluvia
Aforament - Vilabella,"4566063",a70,sud
Aforament - Cornellà  del Terri,"4660993",a15,ter
Aforament - la Pobla de Claramunt,"4599736",a31,llobregat
Aforament - Torelló (Ges),"4655539",a67,ter
Aforament - Castellbell i el Vilar,"4611165",a11,llobregat
Aforament - Navès (Aigua d'Ora),"4651438",a41,llobregat
Aforament - Duesaigües,"4556670",a16,sud
Aforament - Montseny (la Llavina),"4622487",a40,besos-tord
Aforament - Montblanc,"4580851",a37,sud
Aforament - Pont de Molins,"4684812",a44,muga
Aforament - la Coma i la Pedra,"4670980",a29,llobregat
Aforament - Ripoll,"4669209",a47,ter
Aforament - Castellar del Vallès,"4606714",a10,besos-tord
Aforament - Sant Gregori (Ginestar de Llémena),"4651536",a52,ter
Aforament - Castelló d'Empúries,"4678023",a08,muga
Aforament - Sant Quintí de Mediona,"4590540",a56,llobregat
Aforament - Sant Llorenç de la Muga,"4684941",a55,muga
Aforament - Santa Perpètua de Mogoda,"4597081",a62,besos-tord
Aforament - Fogars de la Selva (Pont Eiffel),"4621554",a20,besos-tord
Aforament - Vilanova de Sau (riera Major),"4645978",a73,ter
Aforament - Cercs (riera Peguera),"4666588",a14,llobregat
Aforament - Balsareny,"4634787",a03,llobregat
Aforament - Jorba,"4604957",a26,llobregat
Aforament - Abrera,"4596023",a01,llobregat
Aforament - Anglès (riera d'Osor),"4645530",a02,ter
Aforament - Olot,"4670840",a42,fluvia
Aforament - Esponellà,"4669513",a18,fluvia
Aforament - les Masies de Roda (Gurri),"4648214",a32,ter
Aforament - Vilada (Merdançol),"4664696",a71,llobregat
Aforament - Sant Joan de les Abadesses,"4674665",a53,ter
Aforament - les Masies de Roda (Ter i Gurri),"4648259",a33,ter
Aforament - Vilada (Riera Vilada),"4665951",a72,llobregat
Aforament - Sant Sadurní d'Anoia,"4588700",a57,llobregat
Aforament - Lliçà de Vall,"4604145",a35,besos-tord
Aforament - la Bisbal d'Empordà (Daró),"4645845",a27,ter
Aforament - Montcada i Reixac (el Ripoll),"4593233",a38,besos-tord
Aforament - Puig-reig,"4643264",a45,llobregat
Aforament - Cardona (túnel),"4641790",a07,llobregat
Aforament - Guixers (Cardener) (Monegal),"4666300",a25,llobregat
