station,changepoint_prior_scale,seasonality_prior_scale,nash,pbias
a01,0.5,3.34,0.1657738850205015,-0.0011252768077835897
a03,0.5,10.0,0.13597191652308438,0.0024430435235727964
a04,0.5,4.45,0.37733697945893874,-0.0027159329641022077
a05,0.5,1.12,0.1678564017968608,0.010779298650363109
a07,0.5,7.78,0.17052014388694314,0.004613878377936097
a08,0.5,1.12,0.04411323426247371,0.027318922202249192
a09,0.5,2.23,0.28108786523216467,0.0001308338567730833
a11,0.44455555555555554,6.67,0.1452529437689729,0.006553294206937329
a12,0.5,7.78,0.3456633728811169,0.0011742042224661166
a13,0.5,10.0,0.0536545705229734,-0.0036374926199628666
a16,0.5,0.01,0.07274749927356194,0.004014512861457313
a17,0.5,3.34,0.04751445403629184,-0.010004590914314672
a18,0.5,6.67,0.04204004126956473,-0.012279186973024766
a19,0.5,6.67,0.08617246182350136,-0.00820888640613303
a20,0.5,8.89,0.05721712770644738,-0.010089239377370066
a21,0.5,2.23,0.02492827574308154,0.01888942578763803
a22,0.5,8.89,0.11403419631814493,0.0014202737459240564
a23,0.5,5.5600000000000005,0.16012917487616884,0.025846568988258215
a24,0.5,8.89,0.2089270175338227,0.005021492052051334
a25,0.5,7.78,0.6339605277694009,-0.0024831374467787987
a26,0.5,4.45,0.4634340100118637,0.017021042699591305
a28,0.44455555555555554,4.45,0.10526567677127419,0.0005391120597199661
a29,0.5,5.5600000000000005,0.517603344554767,0.0036383411000998895
a30,0.44455555555555554,3.34,0.030731497765351112,-0.015936700194071913
a31,0.5,1.12,0.14613816747554442,0.003277211578152127
a33,0.5,7.78,0.10643887482841341,0.004008788525354601
a34,0.5,8.89,0.1099960318871066,0.0044126372797820565
a35,0.5,10.0,0.4732741117147915,-0.0037699774916846126
a36,0.5,2.23,0.060720423229459364,-0.023265746449031257
a37,0.44455555555555554,2.23,0.28117171801125207,-0.002500059686702647
a38,0.5,5.5600000000000005,0.06039174304732664,-0.003353094239178134
a39,0.3891111111111111,10.0,0.04964619975795692,0.001796454895324495
a40,0.5,1.12,0.0831269562160688,-0.00322504630919892
a41,0.5,6.67,0.27337585619519456,-0.0025093613776661595
a42,0.5,4.45,0.05823964323212094,0.01480188613471246
a43,0.5,7.78,0.053877584327369665,-0.004517487363145063
a44,0.5,8.89,0.080460853654575,0.039900237474218454
a45,0.5,10.0,0.0880298063791003,0.00618989291991571
a46,0.5,8.89,0.08401381131877983,0.0030134724382573363
a47,0.5,10.0,0.1224035744721591,-0.0039767022018829855
a48,0.5,4.45,0.10652183330250675,0.04771035811095657
a49,0.5,5.5600000000000005,0.1910218129594896,0.0035627171626344462
a50,0.44455555555555554,6.67,0.04125751247828069,-0.008842113796318257
a51,0.5,6.67,0.3087779281211802,-0.009632268233647977
a52,0.5,5.5600000000000005,0.07891660957299673,-0.024234070784098248
a53,0.44455555555555554,8.89,0.14738976890919675,0.012957990164640108
a54,0.44455555555555554,0.01,0.07904983758113393,1.5636737338069098e-05
a55,0.5,2.23,0.0582814972193173,0.007682119797549232
a57,0.5,0.01,0.126772674709131,-0.006370781344230961
a58,0.5,3.34,0.08990659420045188,-0.006517236441830112
a59,0.5,0.01,0.0654372188576059,0.0010525418334250381
a60,0.5,5.5600000000000005,0.05586018785283531,-0.014809276642876817
a61,0.5,5.5600000000000005,0.026545606500966157,-0.019705789022760756
a62,0.5,3.34,0.06381109199438062,0.02151753487199571
a65,0.5,5.5600000000000005,0.07511754389968939,-0.028524849752885023
a66,0.5,4.45,0.1348318254703761,0.015752896608903763
a67,0.5,8.89,0.046489393729604145,0.012795168957633765
a68,0.5,7.78,0.13920927733304922,0.018888058571228213
a69,0.5,3.34,0.06608665616605525,-0.00647569700650551
a70,0.44455555555555554,0.01,0.08712456497819476,0.001791506356874043
a71,0.5,5.5600000000000005,0.08503238731274765,-0.005867351640130035
a72,0.5,1.12,0.050225511851401006,-0.029131628757522954
a73,0.5,1.12,0.19065153796266854,0.04310106417257983
