Estació,UTM X,UTM Y,ID,amunt_em,nom
Aforament - Abrera,409650,4596023,1,no,a01
Aforament - Anglès (riera d'Osor),469379,4645530,2,si,a02
Aforament - Balsareny,407058,4634787,3,no,a03
Aforament - Berga (Olvan),407241,4659812,4,no,a04
Aforament - Boadella d'Empordà,488441,4686953,5,no,a05
Aforament - Campllong (la Gotarra),484973,4638465,6,si,a06
Aforament - Cardona (túnel),391877,4641790,7,no,a07
Aforament - Castelló d'Empúries,505939,4678023,8,no,a08
Aforament - Castellar de n'Hug (Clot del Moro),415662,4679126,9,si,a09
Aforament - Castellar del Vallès,423447,4606714,10,si,a10
Aforament - Castellbell i el Vilar,404933,4611165,11,no,a11
Aforament - Castellbisbal (Assut de Salzers),410931,4593104,12,no,a12
Aforament - Castellet i la Gornal,385564,4569143,13,si,a13
Aforament - Cercs (riera Peguera),405869,4666588,14,si,a14
Aforament - Cornellà del Terri,483379,4660993,15,si,a15
Aforament - Duesaigües,326845,4556670,16,si,a16
Aforament - el Papiol (riera de Rubí),416110,4589073,17,si,a17
Aforament - Esponellà,483371,4669513,18,si,a18
Aforament - Fogars de la Selva (Can Simó),474545,4620839,19,si,a19
Aforament - Fogars de la Selva (Pont Eiffel),472505,4621554,20,si,a20
Aforament - Girona (Onyar),485464,4647022,21,si,a21
Aforament - Girona (Ter),485021,4648705,22,no,a22
Aforament - Guardiola de Berguedà (Llobregat),406706,4674198,23,si,a23
Aforament - Guixers (Aigua de Valls),390343,4665722,24,si,a24
Aforament - Guixers (Cardener) (Monegal),384278,4666300,25,si,a25
Aforament - Jorba,379541,4604957,26,si,a26
Aforament - la Bisbal d'Empordà (Daró),503167,4645845,27,si,a27
Aforament - la Cellera de Ter (Pasteral I),467132,4648235,28,no,a28
Aforament - la Coma i la Pedra,382793,4670980,29,si,a29
Aforament - la Garriga,440427,4616399,30,si,a30
Aforament - la Pobla de Claramunt,388449,4599736,31,si,a31
Aforament - les Masies de Roda (Gurri),441180,4648214,32,si,a32
Aforament - les Masies de Roda (Ter i Gurri),442102,4648259,33,si,a33
Aforament - les Masies de Roda (Ter),441145,4648284,34,si,a34
Aforament - Lliçà de Vall,437121,4604145,35,si,a35
Aforament - Maçanet de Cabrenys (Arnera),482640,4691138,36,si,a36
Aforament - Montblanc,347766,4580851,37,si,a37
Aforament - Montcada i Reixac (el Ripoll),432081,4593233,38,si,a38
Aforament - Montornès del Vallès (el Mogent),438721,4599712,39,si,a39
Aforament - Montseny (la Llavina),449906,4622487,40,si,a40
Aforament - Navès (Aigua d'Ora),388408,4651438,41,si,a41
Aforament - Olot,459542,4670840,42,si,a42
Aforament - Peralada (Llobregat de la Muga),500722,4683552,43,si,a43
Aforament - Pont de Molins,493240,4684812,44,no,a44
Aforament - Puig-reig,407593,4643264,45,no,a45
Aforament - QLSup(A) - Martorell (Anoia),410604,4592342,46,si,a46
Aforament - Ripoll,433448,4669209,47,si,a47
Aforament - Riudellots de la Selva (Onyar),484777,4638503,48,si,a48
Aforament - Sallent,410024,4626764,49,si,a49
Aforament - Sant Celoni,457467,4614412,50,si,a50
Aforament - Sant Feliu de Buixalleu (riera d'Arbúcies),466660,4623237,51,si,a51
Aforament - Sant Gregori (Ginestar de Llémena),477269,4651536,52,si,a52
Aforament - Sant Joan de les Abadesses,437546,4674665,53,si,a53
Aforament - Sant Joan Despí,420245,4578251,54,no,a54
Aforament - Sant Llorenç de la Muga,482028,4684941,55,si,a55
Aforament - Sant Quintí de Mediona,388430,4590540,56,si,a56
Aforament - Sant Sadurní d'Anoia,398770,4588700,57,si,a57
Aforament - Sant Vicenç dels Horts (riu - canal de la Dreta),418344,4582131,58,no,a58
Aforament - Santa Coloma de Gramenet,433228,4589088,59,si,a59
Aforament - Santa Cristina d'Aro,498266,4629585,60,si,a60
Aforament - Santa Llogaia d'Àlguema (riu Manol),497447,4676178,61,si,a61
Aforament - Santa Perpètua de Mogoda,433061,4597081,62,si,a62
Aforament - Súria,397233,4629811,63,no,a63
Aforament - Serinyà,477746,4668642,64,si,a64
Aforament - Serra de Daró (riu Daró),505857,4652675,65,si,a65
Aforament - Tarragona,351999,4556773,66,si,a66
Aforament - Torelló (Ges),439144,4655539,67,si,a67
Aforament - Torroella de Montgrí (Pont de Torroella),510378,4653688,68,no,a68
Aforament - Tortellà - Llierca,467366,4677351,69,si,a69
Aforament - Vilabella,360657,4566063,70,si,a70
Aforament - Vilada (Merdançol),412493,4664696,71,si,a71
Aforament - Vilada (Riera Vilada),412353,4665951,72,si,a72
Aforament - Vilanova de Sau (riera Major),452148,4645978,73,si,a73
